Date,Open,High,Low,Close,Adj Close,Volume
6/26/2018,182.990005,186.529999,182.539993,184.429993,183.146408,24569200
6/27/2018,185.229996,187.279999,184.029999,184.160004,182.878296,25285300
6/28/2018,184.100006,186.210007,183.800003,185.5,184.208969,17365200
6/29/2018,186.289993,187.190002,182.910004,185.110001,183.821686,22737700
7/2/2018,183.820007,187.300003,183.419998,187.179993,185.877258,17731300
7/3/2018,187.789993,187.949997,183.539993,183.919998,182.639954,13954800
7/5/2018,185.259995,186.410004,184.279999,185.399994,184.10965,16604200
7/6/2018,185.419998,188.429993,185.199997,187.970001,186.661789,17485200
7/9/2018,189.5,190.679993,189.300003,190.580002,189.253616,19756600
7/10/2018,190.710007,191.279999,190.179993,190.350006,189.025208,15939100
7/11/2018,188.5,189.779999,187.610001,187.880005,186.572403,18831500
7/12/2018,189.529999,191.410004,189.309998,191.029999,189.700485,18041100
7/13/2018,191.080002,191.839996,190.899994,191.330002,189.998398,12513900
7/16/2018,191.520004,192.649994,190.419998,190.910004,189.581314,15043100
7/17/2018,189.75,191.869995,189.199997,191.449997,190.117554,15534500
7/18/2018,191.779999,191.800003,189.929993,190.399994,189.07486,16393400
7/19/2018,189.690002,192.550003,189.690002,191.880005,190.544571,20286800
7/20/2018,191.779999,192.429993,190.169998,191.440002,190.107635,20676200
7/23/2018,190.679993,191.960007,189.559998,191.610001,190.276443,15989400
7/24/2018,192.449997,193.660004,192.050003,193,191.656769,18697900
7/25/2018,193.059998,194.850006,192.429993,194.820007,193.464111,16709900
7/26/2018,194.610001,195.960007,193.610001,194.210007,192.858353,19076000
7/27/2018,194.990005,195.190002,190.100006,190.979996,189.650818,24024000
7/30/2018,191.899994,192.199997,189.070007,189.910004,188.588272,21029500
7/31/2018,190.300003,192.139999,189.339996,190.289993,188.965622,39373000
8/1/2018,199.130005,201.759995,197.309998,201.5,200.09761,67935700
8/2/2018,200.580002,208.380005,200.350006,207.389999,205.946625,62404000
8/3/2018,207.029999,208.740005,205.479996,207.990005,206.54245,33447400
8/6/2018,208,209.25,207.070007,209.070007,207.614929,25425400
8/7/2018,209.320007,209.5,206.759995,207.110001,205.668579,25587400
8/8/2018,206.050003,207.809998,204.520004,207.25,205.807602,22525500
8/9/2018,207.279999,209.779999,207.199997,208.880005,207.426254,23469200
8/10/2018,207.360001,209.100006,206.669998,207.529999,206.808411,24611200
8/13/2018,207.699997,210.949997,207.699997,208.869995,208.143753,25869100
8/14/2018,210.160004,210.559998,208.259995,209.75,209.020691,20748000
8/15/2018,209.220001,210.740005,208.330002,210.240005,209.508987,28807600
8/16/2018,211.75,213.809998,211.470001,213.320007,212.578293,28500400
8/17/2018,213.440002,217.949997,213.160004,217.580002,216.823471,35427000
8/20/2018,218.100006,219.179993,215.110001,215.460007,214.710846,30287700
8/21/2018,216.800003,217.190002,214.029999,215.039993,214.292297,26159800
8/22/2018,214.100006,216.360001,213.839996,215.050003,214.302261,19018100
8/23/2018,214.649994,217.050003,214.600006,215.490005,214.740738,18883200
8/24/2018,216.600006,216.899994,215.110001,216.160004,215.408401,18476400
8/27/2018,217.149994,218.740005,216.330002,217.940002,217.18222,20525100
8/28/2018,219.009995,220.539993,218.919998,219.699997,218.936096,22776800
8/29/2018,220.149994,223.490005,219.410004,222.979996,222.204681,27254800
8/30/2018,223.25,228.259995,222.399994,225.029999,224.247559,48793800
8/31/2018,226.509995,228.869995,226,227.630005,226.838531,43340100
9/4/2018,228.410004,229.179993,226.630005,228.360001,227.565979,27390100
9/5/2018,228.990005,229.669998,225.100006,226.869995,226.081161,33333000
9/6/2018,226.229996,227.350006,221.300003,223.100006,222.32428,34290000
9/7/2018,221.850006,225.369995,220.710007,221.300003,220.530533,37619800
9/10/2018,220.949997,221.850006,216.470001,218.330002,217.570862,39516500
9/11/2018,218.009995,224.300003,216.559998,223.850006,223.071671,35749000
9/12/2018,224.940002,225,219.839996,221.070007,220.301346,49278700
